statisticalID,name,partOf,code,physicalType
AWn3s2RqgAN,Antananarivo,Location/0,ADMIN_STRUCTURE,Jurisdiction
KozcEjeTyuD,Antsiranana,Location/0,ADMIN_STRUCTURE,Jurisdiction
B1u1bVtIA92,Fianarantsoa,Location/0,ADMIN_STRUCTURE,Jurisdiction
dbTLdTi7s8F,Mahajanga,Location/0,ADMIN_STRUCTURE,Jurisdiction
jFi37lFNinS,Toamasina,Location/0,ADMIN_STRUCTURE,Jurisdiction
IoWWlhQ3jlb,Toliara,Location/0,ADMIN_STRUCTURE,Jurisdiction
