statisticalID,name,partOf,code,physicalType
ve8k5eTMnwF,CSSS Ankadikely,Location/FuvOOwvBw0p,HEALTH_FACILITY
nfjLEcv9zhB,CSB2 Ampahimanga,Location/FuvOOwvBw0p,HEALTH_FACILITY
dZK1x2CkZFw,CSB2 Masindray,Location/FuvOOwvBw0p,HEALTH_FACILITY
xZhQm57zS74,CSB2 Ambohimangakely,Location/FuvOOwvBw0p,HEALTH_FACILITY
GYdpaONnIcF,CSB2 Alasora,Location/FuvOOwvBw0p,HEALTH_FACILITY
mSskBSbOvyq,CSB2 Sabotsy Namehana,Location/FuvOOwvBw0p,HEALTH_FACILITY
VCpLdlzT8Mw,CSB2 Talata Volonondry,Location/FuvOOwvBw0p,HEALTH_FACILITY
Vs2PN5spHxu,CSB2 Anjeva,Location/FuvOOwvBw0p,HEALTH_FACILITY
YTEAv3ceBD5,CSB2 Ankadinandriana,Location/FuvOOwvBw0p,HEALTH_FACILITY
ZiLHXv99UoF,CSB2 Ambodimanga Rova,Location/FuvOOwvBw0p,HEALTH_FACILITY
ETF6T66OyQJ,CSB2 Ambohimalaza,Location/FuvOOwvBw0p,HEALTH_FACILITY
